"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
2749859.71300105,1408840.20268948,959563.055133541,1759035.13161717,1289394.17183344,2943303.0443376,2843614.56975722,2741959.12099934,1266127.7638515,577182.453976401,545465.887608172,264857.883672222,611215.365269037,526794.232241089,128326.380977258,384299.68814443,557535.247202998,790184.434818357,270654.876178309,585448.481609328,258174.041094877,561302.757575195,3698958.35374973,3048670.8133386,1233503.56021643,977721.958619233,421093.232320117,376602.45448675,735731.867248743,2426026.51952568,4895966.68740543,670007.982704402,25806.0304212534,426288.465094166,462171.049959655
3133194.50079307,1725585.50493041,1579327.50549352,1762217.54910368,1246211.58515394,3069624.22001908,3050236.63119263,3272734.87617968,1411893.57420234,830164.793564484,639135.981126427,379987.962997963,825029.460608243,627404.276923209,169865.655931426,415618.239884571,777236.934341845,942843.761174938,323228.308417312,665856.801043214,324712.660885169,786542.059398782,4712157.21658752,3484112.3383377,1622451.65035584,1115743.18561395,487501.56661768,514940.328157761,1084284.02225356,3253606.18057093,5135593.46731219,947369.136861803,30260.5370252169,377741.675649721,598590.604615938
3061273.46830318,1528997.9192984,1578379.75329904,1581151.89376021,1142861.84612216,3152277.76939668,2965863.93370079,2909878.09676676,1509604.34914466,706344.985919805,677175.024624277,371409.223474643,709573.87298924,579114.570622134,198014.143322033,441130.161894645,671483.424759763,959043.882405907,317772.581469974,590764.889608992,287192.886799203,800426.052943142,4214158.01573669,3510985.10962269,1377149.95959887,999865.334233926,432615.180463936,693942.992884558,973463.508989866,2984186.85322206,4632683.08723421,1110339.15488886,35437.3535216034,473688.561006174,561923.638524323
2714223.15577354,1730552.24694282,1505878.50357401,2004309.47128242,1221127.55793048,2478866.09184005,2922030.24189579,3153137.9119671,1277060.78272318,687774.78856436,610675.244438057,321473.294259774,693379.64693726,421156.590784527,164973.998507794,525334.940227868,858468.367680877,936477.751006482,254180.042608915,557528.170407872,220395.095231567,694649.422181292,3821762.92410851,3538079.51200719,1499846.62094781,1037170.30292801,480998.289485693,602913.622453465,752072.864414366,2336770.91527349,5502235.76266132,1147094.01999317,36805.2537486625,481089.362049725,495334.759796256
3025337.92671523,1939906.32271435,1591570.66415082,2155963.01972718,1273170.53397523,2708114.07951552,2857697.49702138,3308096.653373,1477251.86794339,921711.437714611,682490.040712611,333919.445133212,684767.545805091,493091.511051919,156882.26179895,494710.191232441,853961.629851584,1046525.38787142,298056.792938425,605989.606234928,283010.948584293,799813.37014889,4038884.86175631,3415544.55242027,1296041.29163464,915221.444433511,394897.260623419,366280.289826129,737826.211253717,2575151.63612008,5260215.43402365,1032728.24784664,29497.0394070558,432476.105404901,513844.595160181
2793001.30816117,1928890.57423648,1502562.99263371,1886563.12020837,1338649.20323676,2644736.25439685,3027454.57353264,3013014.41113227,1321097.78244587,801630.192986852,663547.302581405,301097.769468238,676986.42202482,495035.49486024,143927.074420376,480077.742862821,767852.453926678,929502.19473628,284923.219902418,454067.097776165,248767.989583478,550374.065327227,3880017.21294007,3614466.11518746,1419723.78354639,929180.206478041,468241.523690666,409333.007348219,699966.182116984,2859389.87332026,5249219.04476967,918942.081989597,30343.2195292419,530090.821913749,530296.95256672
3306747.04487045,1964119.88125633,1710252.50078364,2147196.7690545,1357139.34114371,3424253.10971015,3129150.36761406,3046763.74079949,1391937.01143387,755246.130413685,621615.729577438,356639.761968083,680625.664012796,589865.299792564,183095.641945194,493606.77702077,794891.277082151,1539739.71818829,304867.675862882,567834.881671176,293626.231521566,742208.439632291,4428123.57400688,3763912.80197681,1299297.57700095,1023007.17090537,422661.507476309,469110.140032499,1229964.1741908,2624512.40564494,6064011.82155759,1135848.03293022,50333.6419433966,487862.436132786,535054.706641609
2845618.76668319,1645046.69630121,1372548.292848,1755471.20261364,1242781.31531712,3202526.21188654,2882275.09735745,3251340.14304939,1333551.87696605,693274.959919657,660780.020072999,344524.761616265,668664.439947337,486023.643071993,147723.0248642,514570.299461749,677969.452000647,699575.225339189,270991.874425934,474045.462086907,245215.247406693,781050.96941456,4404283.64832372,3545259.68355141,1430756.81954226,957935.332982301,384626.122533119,361074.670505861,750886.484482815,2880123.88423832,4931572.44113619,875459.286348167,34551.6888212677,477236.493200216,552511.511780234
3036417.66305449,1729587.5223088,1489138.78149812,1888473.68018449,1295021.384921,3147026.44812134,3014062.22361448,2853618.85539222,1743179.10033839,924597.56682019,619658.809157821,327889.793126206,710829.811514576,608757.121584541,220057.469191964,556937.64386586,796872.321055248,914261.844859042,287474.175090338,666092.12737837,320892.119692731,802871.036803634,4670846.69428531,3659787.08214436,1436537.72281254,982995.428437303,360075.062418595,455265.612258829,866517.340778966,2782968.45462332,5686227.82448977,950079.951180722,28915.2355696387,461668.286299439,534400.869391642
2825161.14341208,1731870.97012961,1422961.0288298,1860464.90376151,1221037.89549498,2906567.30955991,3200008.82691068,3069567.45231507,1349046.49709604,768805.784856609,685521.075752553,372586.336754463,732427.148832836,564956.29920597,185735.485932857,452158.169731049,658556.583415086,871137.192329329,284088.399801284,596501.870118801,262172.861348905,668921.888452385,4226642.86848431,3414076.13257338,1292623.73415052,865227.817959901,386679.607607663,355153.466117769,784382.740466233,2610947.33660737,4701181.81215221,923571.133928227,29741.0516732737,534042.756712307,594278.277621886
