"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
1321718.19113741,1126731.08465436,1543985.33782315,2001266.62143216,756135.553898402,1706151.91801899,1497173.18215333,2372127.34762581,1373622.39842318,964703.685470291,592080.408713844,249876.947589015,527476.150643252,319800.815728859,99329.6003656161,66247.1142490961,335247.659979026,234654.003486844,145219.640827682,285580.652804338,334971.184586376,354105.607602431,1852338.86751868,2718625.26468475,1137743.31313869,546217.110952238,119181.370417258,186677.249091864,103905.290758629,909967.538020247,911665.492144273,1348498.9144354,34188.204582219,98788.2099551563,259218.409820287
1535200.87762899,1068163.72310484,1407084.55858187,663015.932144061,739310.357884051,1407354.0259861,1390067.03352664,1917453.02783706,1258813.99341648,917712.974220901,298920.019720629,226527.211673019,434308.749929811,286463.635699274,68838.4766418212,67832.4927633603,239788.29661406,239803.782055516,145837.321888811,218408.530966043,324613.521970113,315515.744286189,1401325.68637852,2563222.67919161,1100184.46614374,553002.269503363,138140.703389873,237969.264589047,105480.43369474,870111.614087539,1039710.06799175,1235654.21559797,31036.7875624004,93410.3676217465,229224.372559763
1425827.37788441,1614461.33608801,1870676.8222473,674518.361406575,916197.863178815,1317731.25118356,1371921.19101317,1941687.15370747,1367355.63333762,1136391.36024319,491219.035349926,354984.184524415,504656.019805043,264960.77998743,118766.097470107,79059.9728301405,278832.067333322,275504.433248998,176415.354355417,297233.76486268,347639.492868073,339479.477299303,1451721.45698077,3023961.2591689,1292909.22942714,696515.335367151,230765.165457544,300805.864582367,113341.502197936,1200171.08463269,1081407.58976731,957376.57237818,57907.2225188102,117507.568906555,245612.180078991
1550189.13350961,1125273.86447486,1404183.53000209,523587.854178873,747364.597828458,1349739.31076472,1362253.68499432,1927999.23073556,1449916.53197428,944758.927956122,638074.535446322,245371.475472312,430375.498586996,311446.919100581,71892.2728306623,62440.0380561013,226625.810784619,202416.352167861,186805.611950734,251231.811484707,333151.416695976,331111.871291248,1485143.24255339,2429570.03340477,969678.375934591,568884.2986113,107134.15863309,157700.70479509,103908.716914736,701709.319213249,865352.928806724,689428.258450497,40191.4872684884,90031.987013087,189894.075478996
1416944.11739603,1486329.1832483,2043739.55453427,1613850.00677337,840298.946206887,1427239.11638464,1440675.00120278,2155817.63344719,1299384.48487179,1029522.52427429,483462.57477427,311142.432715859,565003.93227593,376679.040948322,119381.736958383,73323.2418216348,360128.104174844,306497.519184879,181484.883829895,300598.765679275,380048.531589629,309192.640342526,1488621.93813533,2845993.72422767,1381764.85838189,700446.536801067,220521.827074277,337414.577823904,200743.690829175,1075717.91636054,2646067.15809064,1278850.43646895,38158.0575733643,232515.527205106,291151.123727644
1439936.8666875,1235872.82963521,2000482.16093041,570781.004456396,718557.367448804,1410777.30393047,1461412.69711394,1903382.4145411,1206851.97246648,826011.332434524,474141.472826363,285381.135820668,424787.30702007,323786.512778362,87946.7604533378,86369.8380711419,299503.441351102,257148.164133198,200507.899956845,251982.202451676,356290.522658993,335088.981006979,1497778.90182875,2613771.62560561,1101224.08712267,588824.20981185,148377.392674755,208259.930026831,117092.205375656,974520.838766118,904492.966303548,902905.649547209,61619.1913154088,120667.510807819,225031.649980327
1538908.22666017,1282424.60509105,2373190.81461742,735560.319599589,794428.595600423,1154964.07779766,1320500.34824462,2087840.0900752,1151227.24689883,853614.452849098,431563.761912948,370378.481169577,427415.591449298,293712.846899164,84384.1872626081,79787.780083884,273542.78988784,242500.473004285,161880.141633337,239713.550495783,315553.979785432,334092.866265028,1467563.79978049,2943523.43299455,1289514.70336762,598885.231587774,149888.185864128,349123.224834759,124685.878872266,831241.138959782,1924362.73878997,1763197.32606063,73905.9562395243,87420.1061974319,239210.690777679
1543470.407611,1838175.58370741,2606819.5564177,807851.440802649,831683.21945098,1266372.1367622,1324958.20777054,2357140.74754996,1483481.52735764,1085480.57472895,545415.22885856,249271.975491915,458307.357305531,314164.248035419,81590.8984810685,77070.5999971891,317249.856037207,317297.072616206,175213.733018336,262955.337079739,356215.417751382,341420.134044972,1600984.19293494,2611233.26087575,1065347.61123985,545508.214749813,140672.398106393,233332.341943188,131671.830548392,799373.591923296,1081432.10408296,1534484.4357895,41359.7104072279,94697.7528577269,217059.777582991
1635376.72748056,1777188.1021289,2436883.67622992,600743.729154218,864792.8839657,1332696.68346962,1403063.42516336,1969201.42760494,1213065.82799494,1158412.81156538,532222.009880569,265451.170323928,462415.835384795,298695.242072457,73205.203001128,83459.2416311035,276272.720726896,233284.863786243,167419.224472959,210998.158717311,321347.542285413,291185.971461966,1498033.5651995,2895937.91020506,1190046.24824494,488370.328575261,184338.466771212,266235.32432837,105223.003181063,1046444.32849263,1607713.37970301,1306641.79975159,40300.6514253269,189962.804589493,208424.24308242
1656630.38670802,1407433.16167213,1640250.52103611,1204197.36643054,833677.367870007,1485009.34109499,1521821.73511658,2043769.19200818,1106735.5001997,955914.646942128,361350.023777878,517944.909292557,482474.925650898,345969.158103296,91716.6136152994,77127.2228020722,326388.021468641,411210.087904995,181326.658551411,220401.31695038,361724.066159143,316797.293454063,1541365.06076609,2918974.78496293,1124581.94896756,481367.939074394,146822.801819875,206269.190437513,138559.615008529,807997.486817384,1706868.75085548,1080500.79080774,86923.3086262563,251752.781289862,232228.802470182
