"","GIS_STATION","Lat","Long"
"1","A-02",55.0038581188119,-166.938421089109
"2","A-03",55.005243125,-166.34199725
"3","A-04",55.0028771518987,-165.751185886076
"4","A-05",54.9978212081784,-165.151775817844
"5","A-06",55.0235578431373,-164.590610980392
"6","B-01",55.3412870652174,-167.547656956522
"7","B-02",55.330085,-166.96808
"8","B-03",55.3416478947368,-166.354432573099
"9","B-04",55.3354403007519,-165.780515263158
"10","B-05",55.343247965368,-165.184236233766
"11","B-06",55.3370714731183,-164.577530645161
"12","B-07",55.3410384536082,-164.016207525773
"13","B-08",55.3415191729323,-163.418052932331
"14","C-01",55.65608778125,-167.5831566875
"15","C-02",55.6762738380282,-166.985373767606
"16","C-03",55.6719755102041,-166.387918503401
"17","C-04",55.6695758441558,-165.801201168831
"18","C-05",55.6688548381295,-165.170211690647
"19","C-06",55.6604742360061,-164.591489636914
"20","C-07",55.6847034825871,-164.008256069652
"21","C-08",55.6666029761905,-163.404555654762
"22","C-09",55.66982515625,-162.84136765625
"23","C-18",55.6759636752137,-168.181858376068
"24","D-01",56.0018732590234,-167.619234076433
"25","D-02",56.0021511111111,-167.000474989899
"26","D-03",56.0013499496222,-166.40056138539
"27","D-04",56.0040181677019,-165.786098581781
"28","D-05",55.9971930414013,-165.183797006369
"29","D-06",55.9980951904762,-164.588914166667
"30","D-07",56.0012704560261,-163.989792084691
"31","D-08",56.0035276212471,-163.391698106236
"32","D-09",55.9959542473118,-162.819315860215
"33","D-10",55.9967063291139,-162.257624810127
"34","D-18",55.9998133260154,-168.230449626784
"35","E-01",56.3331446805349,-167.651267256067
"36","E-02",56.3317415237134,-167.033879677094
"37","E-03",56.3397926984127,-166.409583015873
"38","E-04",56.3368918971631,-165.801240762411
"39","E-05",56.333462854641,-165.20208469352
"40","E-06",56.3234184711779,-164.58491481203
"41","E-07",56.3429597832817,-163.995991547988
"42","E-08",56.3391193719807,-163.401352801932
"43","E-09",56.3306668548387,-162.787570564516
"44","E-10",56.3328648,-162.200713466667
"45","E-11",56.3347825,-161.61797475
"46","E-12",56.3359058333333,-160.991514444444
"47","E-18",56.3320095658466,-168.242907619392
"48","E-19",56.3405226445264,-168.877074403444
"49","E-20",56.3711871764706,-169.449082235294
"50","E-21",56.3482109753954,-170.082738189807
"51","E-22",56.3433573843058,-170.69296501006
"52","F-01",56.6721776219206,-167.671732021116
"53","F-02",56.6739297937294,-167.061951369637
"54","F-03",56.6682420448179,-166.436990084034
"55","F-04",56.6616129181495,-165.842445729537
"56","F-05",56.6637927848101,-165.21972821519
"57","F-06",56.665195681445,-164.60208270936
"58","F-07",56.6649193924051,-163.994031974684
"59","F-08",56.6707414611872,-163.383743378995
"60","F-09",56.6650621472393,-162.784943312883
"61","F-10",56.6649595774648,-162.184674366197
"62","F-11",56.6698864220184,-161.583443853211
"63","F-12",56.6709468571429,-160.985716285714
"64","F-13",56.6651625,-160.375308611111
"65","F-14",56.6759908571429,-159.750313428571
"66","F-18",56.6610611555425,-168.291097465451
"67","F-19",56.6657189737388,-168.906151074637
"68","F-20",56.6721304794521,-169.509077773973
"69","F-21",56.6695067238913,-170.116043948498
"70","F-22",56.6719316374269,-170.735202465887
"71","F-23",56.6675414901664,-171.352390007564
"72","F-24",56.6842522429907,-171.946999260833
"73","F-25",56.6701458461538,-172.569595307692
