"X","Y","L1","L2"
822.436943093209,6084.71662807702,1,1
821.921978572418,6084.56592969101,1,1
821.209217427459,6084.55067538261,1,1
820.53204261347,6084.57604913005,1,1
819.601387837023,6084.46929450195,1,1
818.650314747646,6084.13713374305,1,1
817.812420399837,6083.77526537606,1,1
816.264267278936,6082.87195188263,1,1
815.297425800437,6082.23782835696,1,1
814.542323109814,6081.7695264313,1,1
813.671173207872,6081.3669995369,1,1
813.127270279074,6081.10120951987,1,1
812.535626626342,6080.98296174401,1,1
811.631272414001,6081.02840408884,1,1
811.132301058255,6081.17916904694,1,1
810.384755419396,6081.65022488089,1,1
810.01939295766,6082.03610004172,1,1
809.76732010947,6082.3927671804,1,1
809.543326544283,6082.90087890851,1,1
809.229958195874,6083.59198459224,1,1
808.954019939813,6084.28439647623,1,1
808.777562483992,6084.64626174847,1,1
808.35287083277,6085.32847945724,1,1
807.914525572865,6086.19724029554,1,1
807.487137411513,6086.39031423775,1,1
807.110726745247,6086.40031800279,1,1
806.471453464247,6086.42775966812,1,1
806.051792434954,6086.50988334638,1,1
805.209432525399,6086.74731211669,1,1
804.652184480687,6086.66945337942,1,1
803.902053786752,6086.65097013655,1,1
803.414177368408,6086.65249542777,1,1
802.880571600089,6086.7638108883,1,1
802.267596326676,6086.94354859468,1,1
801.685931638543,6087.20048111057,1,1
801.063605237546,6087.49214217321,1,1
799.985844631567,6087.86336809051,1,1
799.570050044809,6087.90716479382,1,1
798.663071108116,6087.99061486376,1,1
797.758648715861,6088.03659659882,1,1
796.664994440286,6088.10597564692,1,1
795.836075377377,6088.15642167582,1,1
795.273198545836,6088.15255701691,1,1
794.598807282898,6088.14065477916,1,1
793.920989400766,6088.1655891456,1,1
792.099544521343,6088.44396063348,1,1
791.18735686558,6088.60096583016,1,1
788.797952275769,6088.95025600172,1,1
787.629725603281,6089.01361468548,1,1
786.459185866888,6089.11498617723,1,1
785.4350622245,6089.26381925376,1,1
784.402867609034,6089.52527729346,1,1
783.404606705252,6089.82738769885,1,1
782.567454158347,6089.99084779352,1,1
781.541379952375,6090.17748343839,1,1
780.436811536099,6090.39602974842,1,1
779.479661929821,6090.66237292142,1,1
778.366520615763,6090.99241915023,1,1
777.254523851925,6091.32325603807,1,1
776.409140898112,6091.59883678969,1,1
775.646048311505,6091.76724494899,1,1
774.648238349732,6092.06867527416,1,1
773.688653122573,6092.37259704507,1,1
772.842795992704,6092.64793777951,1,1
771.925176952188,6092.88031479343,1,1
770.970544358816,6093.11022200364,1,1
769.146684743374,6093.50272571647,1,1
769.026784099143,6093.52852705453,1,1
768.226324793878,6093.69500441433,1,1
767.26579066761,6093.99896346793,1,1
766.424042700852,6094.23651977349,1,1
765.62171614996,6094.43994197612,1,1
764.850161214346,6094.72021992947,1,1
764.113686268136,6095.04016612521,1,1
763.726906189783,6095.19954209073,1,1
762.996911350489,6095.44512806438,1,1
762.262819585974,6095.72930214198,1,1
761.494993115932,6095.97206767957,1,1
760.502785403453,6096.19849188827,1,1
759.393186948611,6096.49234245189,1,1
758.473354168776,6096.76127154493,1,1
757.590579885865,6097.03421100843,1,1
756.63696906508,6097.26363884752,1,1
755.56945775227,6097.48375850811,1,1
754.76956916425,6097.65007865392,1,1
754.236397845779,6097.76011478885,1,1
753.588942002633,6097.899564855,1,1
751.869269614118,6098.33547791007,1,1
750.988550010641,6098.57062056816,1,1
750.221060437044,6098.81313581065,1,1
749.487630467472,6099.09673886758,1,1
748.67721648825,6099.41157273999,1,1
747.095842411439,6100.00671924751,1,1
746.367914767294,6100.21627557461,1,1
745.754218122862,6100.39563103162,1,1
745.023541470336,6100.64101207061,1,1
744.25584880696,6100.88443018189,1,1
743.677383092835,6101.10380992391,1,1
743.250032349441,6101.29795181614,1,1
742.553672686413,6101.58336935642,1,1
741.738302862967,6101.97308835599,1,1
741.066194435189,6102.44854588837,1,1
740.476187539456,6102.81704817265,1,1
739.844315867291,6103.25698204063,1,1
739.21751264704,6103.62363315615,1,1
738.664813694111,6103.99562925934,1,1
738.11020336042,6104.40418982214,1,1
736.922519050314,6105.25342095072,1,1
736.333236850882,6105.62244384616,1,1
735.698271467688,6106.10058379477,1,1
735.104355431837,6106.54310213044,1,1
734.617560823593,6107.03257455577,1,1
733.982992742734,6107.51007976424,1,1
733.431174379345,6107.88268836647,1,1
732.915588990743,6108.25601448757,1,1
