Level,Criterion,Lag,Current_Spawner,Use_Temp,Phase,Prediction_mean,Target_mean,Prediction_max,Target_max,Prediction_min,Target_min,Pred_SD,Pred_P25,Pred_P50,Pred_P75,Pred_P95,Abundance_Capture,MAE,Spatial_Correlation,Adjusted_Spatial_Correlation,N_valid_cells
real,Tweedie,5,True,True,TRAIN,1649.2235,1481.1267,98026.36,195435.73,0.06444085,0.0,5143.423,6.105152,44.308613,760.5448,9043.266,1.1134925,906.35223,0.8384102860943171,0.8384102860943171,886
real,Tweedie,5,True,True,VAL,2309.7947,1951.5923,92429.98,292522.1,0.07015622,0.0,6760.8345,5.846959,66.94881,1394.8627,11953.762,1.1835437,1896.7546,0.8369714834257603,0.8369714834257603,886
real,Tweedie,5,True,True,TEST,2179.0054,407.20087,63803.594,66167.03,0.7965261,0.0,5543.127,22.518276,146.85355,1494.3,11933.898,5.3511806,1796.2604,0.7674419072159661,0.7674419072159661,886
real,Tweedie,0,True,False,TRAIN,1612.7673,1613.681,94526.04,195435.73,0.0002143383,0.0,5829.3604,0.1877324,4.0984087,239.92804,9519.525,0.9994338,497.82092,0.9176677153784281,0.9176677149488768,886
real,Tweedie,0,True,False,VAL,2374.8928,1802.2185,74884.586,292522.1,0.00023949146,0.0,6515.744,0.12970206,5.4682045,652.647,17155.393,1.3177607,2183.1438,0.8519484363073997,0.851948366282178,886
real,Tweedie,0,True,False,TEST,1715.0245,407.20087,34163.812,66167.03,0.0007956028,0.0,4954.958,0.20527071,2.6938698,141.12384,14594.823,4.211741,1377.0472,0.7946018297567123,0.7946018297567123,886
real,Tweedie,0,False,False,TRAIN,1780.5756,1543.6261,169860.39,195435.73,0.000346303,0.0,7013.2446,0.47125855,6.7306094,292.9693,9792.154,1.1535019,666.9541,0.9042997823338425,0.9042997823338425,886
real,Tweedie,0,False,False,VAL,2337.2964,1802.2185,67498.47,292522.1,0.00019645691,0.0,6046.8965,0.45213166,12.306196,989.8564,15924.654,1.2968996,2275.2615,0.8357724788867416,0.8357724690761781,886
real,Tweedie,0,False,False,TEST,1579.3402,407.20087,59899.984,66167.03,0.00079500675,0.0,4946.8066,0.114396214,1.3700703,82.706436,12613.059,3.8785286,1279.9951,0.811334127890565,0.811334127890565,886
real,Tweedie,5,True,False,TRAIN,1931.24,1481.1262,236250.69,195435.73,6.020069e-05,0.0,7871.9297,0.22358528,3.2345471,314.1781,10738.532,1.3038996,675.73035,0.9078616595987469,0.9078616635186338,886
real,Tweedie,5,True,False,VAL,1352.1848,1951.5923,32512.541,292522.1,0.0033119917,0.0,3569.469,0.17511809,2.792594,754.8836,8497.401,0.69286233,1815.3254,0.807508607994363,0.807508607994363,886
real,Tweedie,5,True,False,TEST,1162.8776,407.20087,33388.207,66167.03,0.0008481741,0.0,3484.2373,0.069502294,0.74131274,403.02612,7344.726,2.8557837,853.0753,0.8141985751548385,0.8141985751548385,886
