lag,calendar_year,mae_mean,mae_sd,spearman_mean,spearman_sd,n_bootstraps
5,2021,611.3,31.9,0.8079,0.0147,100
5,2022,482.2,46.0,0.7922,0.0089,100
5,2023,267.2,30.1,0.8315,0.0071,100
