Level,Criterion,Lag,Current_Spawner,Use_Temp,Phase,Prediction_mean,Target_mean,Prediction_max,Target_max,Prediction_min,Target_min,Pred_SD,Pred_P25,Pred_P50,Pred_P75,Pred_P95,Abundance_Capture,MAE,Spatial_Correlation,Adjusted_Spatial_Correlation,N_valid_cells
medium,MSE,5,True,False,TRAIN,17187.64,4315.035,3017486.2,972297.75,12.36766,0.0,46187.3,14.941948,77.14919,6627.2515,104854.92,3.9831984,14766.699,0.7505163359382924,0.7847583606825413,2500
medium,MSE,5,True,False,VAL,21429.055,4125.6187,2711975.5,972297.75,12.37781,0.0,53741.11,13.914911,36.56984,11391.808,126059.125,5.1941433,18271.846,0.7967879152971618,0.8364330003120478,2500
medium,MSE,5,True,False,TEST,22172.822,4270.5195,1212232.9,972297.75,12.377039,0.0,56800.473,13.921421,33.746346,10572.484,131434.56,5.192067,19128.986,0.7937609416273607,0.8355601649210184,2500
medium,Tweedie,0,True,False,TRAIN,4502.1577,4315.0356,3371846.8,972297.75,0.7473867,0.0,30965.53,45.0018,380.25812,2564.562,15038.421,1.043365,3202.629,0.7322184025651196,0.7327015550959686,2500
medium,Tweedie,0,True,False,VAL,3943.373,4125.6187,2291215.0,972297.75,0.55888295,0.0,19325.402,22.104534,204.97261,2571.196,16139.27,0.95582587,3132.447,0.7888086481233291,0.789869325083297,2500
medium,Tweedie,0,True,False,TEST,4544.061,4270.5195,1837611.8,972297.75,0.65399194,0.0,22256.84,21.790306,191.46732,2544.6838,17770.793,1.0640535,3483.1726,0.7869184371882526,0.7881306263273374,2500
medium,Tweedie,0,False,False,TRAIN,3341.9421,4364.8564,886180.8,972297.75,2.2584274,0.0,14430.954,58.447166,330.80402,2468.5693,12950.964,0.7656476,3109.6152,0.7614065337372272,0.7615172112034655,2500
medium,Tweedie,0,False,False,VAL,3732.5288,4125.6187,735172.06,972297.75,1.8749235,0.0,14820.426,43.850254,245.22571,2637.716,15642.401,0.9047198,3068.0269,0.7923616421548677,0.7924834706940366,2500
medium,Tweedie,0,False,False,TEST,4216.2285,4270.5195,488489.03,972297.75,2.2413533,0.0,15762.496,37.840416,222.94528,2679.9102,18125.193,0.9872871,3468.2507,0.7882881529845097,0.7886013138428644,2500
medium,Tweedie,5,True,False,TRAIN,4600.1143,4315.0356,4529106.5,972297.75,0.47285998,0.0,31273.19,23.32392,355.15204,2792.119,15470.165,1.0660664,3022.395,0.7346166783395688,0.7363593124645437,2500
medium,Tweedie,5,True,False,VAL,4320.446,4125.6187,1494603.1,972297.75,0.33142364,0.0,19864.445,9.794323,146.59897,2739.4714,18097.652,1.0472237,3195.397,0.7917402175377104,0.7951534464261486,2500
medium,Tweedie,5,True,False,TEST,4854.8877,4270.5195,779959.44,972297.75,0.22736084,0.0,19134.996,9.352124,154.64246,2995.9905,21134.164,1.1368378,3653.7336,0.7900077866178215,0.7933790701025846,2500
hard,MSE,0,True,False,TRAIN,46458.22,4197.8003,4595032.5,972297.75,45.114635,0.0,158286.11,69.78857,468.78537,10313.047,282095.1,11.067278,43567.43,0.6547522835494376,0.6650902423803803,2500
hard,MSE,0,True,False,VAL,54689.63,3921.884,5761336.0,972297.75,45.23957,0.0,168372.92,62.63895,324.23804,15895.837,337345.5,13.944734,51352.188,0.7061700265804629,0.7208286654673061,2500
hard,MSE,0,True,False,TEST,57922.895,3895.9954,4396498.0,972297.75,45.662266,0.0,185450.05,62.418488,290.31723,14652.635,354355.38,14.8672905,54678.277,0.7076785043843804,0.7248918516878154,2500
hard,MSE,0,False,False,TRAIN,31480.502,4263.0244,3786341.0,972297.75,38.817287,0.0,99380.26,56.09118,223.2551,9560.389,188733.28,7.3845468,28656.057,0.6847717991746086,0.7019518846223833,2500
hard,MSE,0,False,False,VAL,36890.992,3921.884,10098942.0,972297.75,38.925854,0.0,105622.195,50.674942,241.48674,12769.548,226082.22,9.406446,33929.297,0.7061350284229894,0.7209913081785556,2500
hard,MSE,0,False,False,TEST,47206.383,3895.9954,5790497.5,972297.75,38.809067,0.0,133111.98,47.724754,289.13275,20957.389,268499.75,12.116643,44079.1,0.7046629583907782,0.7222592654605718,2500
hard,MSE,5,True,False,TRAIN,39602.246,4197.7974,13960328.0,972297.75,42.1898,0.0,130325.13,74.37958,497.0989,11418.355,236107.1,9.434053,36484.55,0.6516784814983422,0.6638850448252803,2500
hard,MSE,5,True,False,VAL,45443.688,3921.884,7373250.0,972297.75,42.344887,0.0,146520.75,65.18183,356.91486,14043.571,270191.2,11.587209,42245.105,0.7077153424193567,0.7214668870188032,2500
hard,MSE,5,True,False,TEST,42511.46,3895.9954,5316342.0,972297.75,42.704308,0.0,130571.91,64.13952,338.73514,14542.42,255527.3,10.911579,39420.74,0.7089691174440848,0.7250358077539553,2500
hard,Tweedie,0,True,False,TRAIN,4401.9927,4197.7983,2590630.5,972297.75,7.9905453,0.0,21029.867,122.089226,614.21954,3048.0415,15504.256,1.0486432,4292.627,0.6301957763941153,0.6301969170761416,2500
hard,Tweedie,0,True,False,VAL,4399.146,3921.884,752465.44,972297.75,7.779578,0.0,17446.625,81.61677,461.73468,3171.589,17186.453,1.121692,3997.682,0.6935109716580126,0.6935129776436214,2500
hard,Tweedie,0,True,False,TEST,4732.274,3895.9954,729047.44,972297.75,7.1438036,0.0,18981.52,64.748985,416.40466,3292.017,18681.549,1.2146509,4123.6235,0.6958085696694716,0.695825323352047,2500
hard,Tweedie,0,False,False,TRAIN,4460.4175,4263.025,2103010.2,972297.75,1.7569938,0.0,24461.236,74.28212,434.10663,2858.7986,15498.181,1.0463034,3788.3818,0.6633987723602945,0.66343324818114,2500
hard,Tweedie,0,False,False,VAL,3929.8071,3921.884,894450.6,972297.75,1.8325381,0.0,15401.509,67.67061,474.00226,3058.1401,15638.301,1.0020202,3750.746,0.695324587014554,0.6953534345574071,2500
hard,Tweedie,0,False,False,TEST,4762.0405,3895.9954,1220081.5,972297.75,1.7906492,0.0,19446.049,59.183052,469.46857,3516.3066,19047.229,1.2222911,3941.737,0.7012310541452184,0.7013206404038478,2500
hard,Tweedie,5,True,False,TRAIN,5759.199,4197.798,2387727.5,972297.75,6.71669,0.0,35082.934,111.38986,530.49084,2673.2537,16490.24,1.3719573,4649.551,0.6301499311480332,0.6301506997333455,2500
hard,Tweedie,5,True,False,VAL,4460.918,3921.884,1052539.5,972297.75,9.686249,0.0,22263.215,100.22684,450.03214,2634.9417,15316.98,1.1374426,4040.3755,0.6927907848137198,0.6927907848137198,2500
hard,Tweedie,5,True,False,TEST,4549.905,3895.9954,987109.2,972297.75,13.83827,0.0,23243.373,92.43284,423.35083,2719.6057,15341.414,1.1678414,3942.059,0.6987818398222239,0.6987818468734243,2500
